,name,year,genre,imdb,meta,gross,runtime
242,Passion of Mind,2000,Drama,5.6,28,0.77,105
243,Aberdeen,2000,Drama,7.2,78,0.06,106
244,Crime + Punishment in Suburbia,2000,Drama,5.9,32,0.03,100
245,Urbania,2000,Drama,7.0,73,1.03,103
246,3 Strikes,2000,Comedy,4.5,11,9.82,82
247,O Fantasma,2000,Drama,5.7,36,0.13,87
248,Sordid Lives,2000,Comedy,6.8,47,1.11,111
249,Fah talai jone,2000,Action,7.0,69,0.07,110
250,Up at the Villa,2000,Drama,6.0,57,2.93,115
251,Vengo,2000,Musical,7.3,64,0.12,90
252,Liam,2000,Drama,7.0,74,1.01,90
253,What's Cooking?,2000,Comedy,7.1,57,1.04,109
254,Blackboards,2000,Drama,6.9,64,0.0,88
255,The Lord of the Rings: The Fellowship of the Ring,2001,Adventure,8.8,92,315.54,178
256,A Beautiful Mind,2001,Biography,8.2,72,170.74,135
257,"Monsters, Inc.",2001,Animation,8.1,78,289.92,92
258,Donnie Darko,2001,Drama,8.1,88,1.48,113
259,Amélie,2001,Comedy,8.3,69,33.23,122
260,Harry Potter and the Sorcerer's Stone,2001,Adventure,7.6,64,317.58,152
261,Shrek,2001,Animation,7.9,84,267.67,90
262,Spirited Away,2001,Animation,8.6,96,10.06,125
263,Ocean's Eleven,2001,Crime,7.8,74,183.42,116
264,Training Day,2001,Crime,7.7,69,76.63,122
265,Black Hawk Down,2001,Drama,7.7,74,108.64,144
266,The Fast and the Furious,2001,Action,6.8,58,144.53,106
267,The Others,2001,Horror,7.6,74,96.52,104
268,Pearl Harbor,2001,Action,6.1,44,198.54,183
269,Mulholland Dr.,2001,Drama,8.0,83,7.22,147
270,The Mummy Returns,2001,Action,6.4,48,202.02,130
271,A.I. Artificial Intelligence,2001,Adventure,7.1,65,78.62,146
272,Jurassic Park III,2001,Action,5.9,42,181.17,92
273,Moulin Rouge!,2001,Drama,7.6,66,57.39,127
274,The Royal Tenenbaums,2001,Comedy,7.6,76,52.36,110
275,Hannibal,2001,Crime,6.8,57,165.09,131
276,Vanilla Sky,2001,Fantasy,6.9,45,100.61,136
277,Zoolander,2001,Comedy,6.6,61,45.17,90
278,American Pie 2,2001,Comedy,6.4,43,145.1,108
279,Enemy at the Gates,2001,Drama,7.6,53,51.4,131
280,Blow,2001,Biography,7.6,52,52.99,124
281,Bridget Jones's Diary,2001,Comedy,6.7,66,71.54,97
282,Planet of the Apes,2001,Action,5.7,50,180.01,119
283,Lara Croft: Tomb Raider,2001,Action,5.8,33,131.14,100
284,Rush Hour 2,2001,Action,6.6,48,226.16,90
285,Swordfish,2001,Action,6.5,32,69.77,99
286,K-PAX,2001,Drama,7.4,49,50.34,120
287,Legally Blonde,2001,Comedy,6.3,59,96.52,96
288,A Knight's Tale,2001,Action,6.9,56,56.57,132
289,Jay and Silent Bob Strike Back,2001,Comedy,6.9,51,30.06,104
290,From Hell,2001,Horror,6.8,54,31.6,122
291,Scary Movie 2,2001,Comedy,5.3,29,71.31,83
292,I Am Sam,2001,Drama,7.6,28,40.31,132
293,Spy Game,2001,Action,7.1,63,0.03,126
294,Shallow Hal,2001,Comedy,5.9,48,70.84,114
295,The Princess Diaries,2001,Comedy,6.3,52,108.25,111
296,The Score,2001,Crime,6.8,71,71.07,124
297,Evolution,2001,Comedy,6.1,40,38.35,101
